CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
,,80S,N/A,"$1,357.93","$1,086.35",
,,OTHER,12,"$18,737.69","$14,990.16",
,33617,TOTAL,11,"$14,824.68","$11,859.74",
,,80S,N/A,$811.58,$649.26,
,,OTHER,N/A,"$14,013.10","$11,210.48",
,33641,TOTAL,"3,420","$1,983,201.14","$1,575,217.34",
,,80S,"1,296","$162,324.81","$129,220.70",
,,OTHER,"2,124","$1,820,876.33","$1,445,996.64",
,33645,TOTAL,68,"$53,524.06","$40,454.72",
,,80S,21,"$3,624.06","$2,899.26",
,,OTHER,47,"$49,900.00","$37,555.46",
,33647,TOTAL,67,"$51,239.73","$40,991.79",
,,80S,24,"$3,556.55","$2,845.25",
,,OTHER,43,"$47,683.18","$38,146.54",
,33660,TOTAL,30,"$30,843.68","$24,581.36",
,,80S,N/A,"$1,607.99","$1,192.82",
,,OTHER,21,"$29,235.69","$23,388.54",
,33665,TOTAL,N/A,"$1,135.00",$908.00,
,,80S,N/A,$156.55,$125.24,
,,OTHER,N/A,$978.45,$782.76,
,33670,TOTAL,N/A,$310.75,$248.60,
,,80S,N/A,$249.90,$199.92,
,,OTHER,N/A,$60.85,$48.68,
,33675,TOTAL,N/A,"$7,873.82","$6,299.05",
,,80S,N/A,$921.89,$737.51,
,,OTHER,N/A,"$6,951.93","$5,561.54",
,33677,TOTAL,N/A,"$2,142.26","$1,713.81",
,,OTHER,N/A,"$2,142.26","$1,713.81",
,33681,TOTAL,214,"$152,102.07","$120,782.66",
,,80S,84,"$12,781.37","$10,225.04",
,,OTHER,130,"$139,320.70","$110,557.62",
,33684,TOTAL,N/A,"$2,879.97","$2,266.13",
,,80S,N/A,$145.07,$116.06,
,,OTHER,N/A,"$2,734.90","$2,150.07",
,33688,TOTAL,N/A,"$2,087.36","$1,669.88",
,,80S,N/A,$269.10,$215.28,
,,OTHER,N/A,"$1,818.26","$1,454.60",
,33690,TOTAL,N/A,"$2,538.09","$2,030.48",
,,80S,N/A,$196.58,$157.26,
,,OTHER,N/A,"$2,341.51","$1,873.22",
,33694,TOTAL,N/A,"$2,112.12","$1,689.70",
,,80S,N/A,$252.86,$202.29,
,,OTHER,N/A,"$1,859.26","$1,487.41",
,33697,TOTAL,N/A,"$7,661.22","$6,128.98",
,,80S,0,$0.00,$0.00,
,,OTHER,N/A,"$7,661.22","$6,128.98",
,33702,TOTAL,29,"$15,890.70","$12,712.56",
,,80S,13,"$1,677.91","$1,342.32",
,,OTHER,16,"$14,212.79","$11,370.24",
,33710,TOTAL,N/A,$895.11,$716.09,
,,OTHER,N/A,$895.11,$716.09,
,33720,TOTAL,63,"$39,023.10","$31,110.46",
,,80S,21,"$2,921.83","$2,337.46",
,,OTHER,42,"$36,101.27","$28,773.00",
,33724,TOTAL,17,"$14,374.53","$11,499.66",
,,80S,N/A,$997.10,$797.68,
,,OTHER,12,"$13,377.43","$10,701.98",
,33726,TOTAL,N/A,"$8,987.95","$7,190.37",
,,80S,N/A,"$1,055.04",$844.04,
,,OTHER,N/A,"$7,932.91","$6,346.33",
,33730,TOTAL,12,"$13,867.86","$11,094.29",
,,80S,N/A,$704.12,$563.30,
,,OTHER,N/A,"$13,163.74","$10,530.99",
,33732,TOTAL,N/A,"$4,718.86","$3,775.08",
,,80S,N/A,$377.84,$302.27,
,,OTHER,N/A,"$4,341.02","$3,472.81",
,33735,TOTAL,N/A,"$2,626.07","$2,100.86",
,,80S,N/A,$193.36,$154.69,
,,OTHER,N/A,"$2,432.71","$1,946.17",
,33736,TOTAL,34,"$20,039.62","$16,031.71",
,,80S,N/A,$749.24,$599.39,
,,OTHER,27,"$19,290.38","$15,432.32",
,33737,TOTAL,N/A,$679.36,$543.48,
,,80S,N/A,$81.33,$65.06,
,,OTHER,N/A,$598.03,$478.42,
,33750,TOTAL,N/A,"$1,229.71",$375.43,
,,OTHER,N/A,"$1,229.71",$375.43,
,33755,TOTAL,N/A,$904.22,$723.38,
,,80S,N/A,$219.20,$175.36,
,,OTHER,N/A,$685.02,$548.02,
,33766,TOTAL,N/A,$876.42,$701.14,
,,OTHER,N/A,$876.42,$701.14,
,33767,TOTAL,N/A,"$3,013.50","$2,410.79",
,,80S,N/A,$219.83,$175.86,
,,OTHER,N/A,"$2,793.67","$2,234.93",
,33770,TOTAL,N/A,"$2,031.45","$1,625.16",
,,80S,N/A,$181.45,$145.16,
,,OTHER,N/A,"$1,850.00","$1,480.00",
,33774,TOTAL,76,"$41,739.11","$33,391.53",
